Item ID,Name,Purchase Link,Image_url,Image_file,Date Last Purchased,Category,Vendor,Makerspace_quantity,Backroom_quantity,Location,Alert
Paint_Copper,"Metal Acrylic Paint Set, 8 oz Bottle, Copper","Chroma Molten Metal Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 4",https://images.schoolspecialty.com/images/406873_ecommthumbnail.jpg,,3/22/2023,PT,DOE,25,0,,0
Paint_DarkGreen,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, Green Deep","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,11,0,,0
Paint_Gold,"Metal Acrylic Paint Set, 8 oz Bottle, Xanadu Gold","Chroma Molten Metal Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 4",https://images.schoolspecialty.com/images/406873_ecommthumbnail.jpg,,3/22/2023,PT,DOE,2,0,,0
Paint_OrangeVermilion,"Chromacryl Acrylic Paint, 0.5 gal Jug, Orange Vermilion","Chromacryl Premium Students Acrylic Paint, 0.5 gal Jug, Orange Vermilion",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/361493.jpg,,12/30/2022,PT,DOE,1,0,,0
Paint_Silver,"Metal Acrylic Paint Set, 8 oz Bottle, Purgare Silver","Chroma Molten Metal Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 4",https://images.schoolspecialty.com/images/406873_ecommthumbnail.jpg,,3/22/2023,PT,DOE,14,0,,0
Paint_WarmRed,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, Warm Red","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,6,0,,0
Paint_White,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, White","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,6,0,,0
Palette_1,Palette with Cover,"School Smart Paint Palette with Cover, 7-1/2 in, Plastic, White, Pack of 12",https://images.schoolspecialty.com/images/085860_ecommthumbnail.jpg,,10/31/2022,PT,DOE,0,0,,0
Palette_Knife,Royal & Langnickel Palette Knife Classroom Value Pack - Set of 36,,,,3/22/2023,PT,BLICK,2,0,,0
Paper_12x18," Drawing Paper, 80 lb, 12 X 18 in","Sax Pen and Ink 100% Sulphite Drawing Paper, 80 lb, 12 X 18 in, Sulphite, White, Pack of 100",https://images.schoolspecialty.com/images/1323139_ecommthumbnail.jpg,,3/22/2023,PAP,DOE,1,0,,0
Paper_9x12,"Multi-Media Art Paper, 80 lb, 9 X 12 in, Natural White","Pacon Art1st Sulphite Acid-Free Multi-Media Art Paper, 80 lb, 9 X 12 in, Natural White, Pack of 500",https://images.schoolspecialty.com/images/1329811_A_ecommthumbnail.jpg,,3/22/2023,PAP,DOE,3,0,,0
Paper_Construction,"Construction Paper, 9 X 12 Inches, Assorted Color, Pack of 300","Construction Paper, 9 X 12 Inches, Assorted Color, Pack of 300",https://images.schoolspecialty.com/images/336373_ecommthumbnail.jpg,,4/22/2023,PAP,DOE,2,0,,0
PaperMache_1,"Instant Papier-Mache, 5 lb Bag, White","Celluclay Non-Toxic Instant Papier-Mache, 5 lb Bag, White",https://images.schoolspecialty.com/images/350075_A_ecommthumbnail.jpg,,3/22/2023,SC,DOE,1,0,,0
PaperMache_2,Blick Instant Papier Maché - 20 lb,,,,3/22/2023,SC,BLICK,1,0,,0
